#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	Latitude	Longitude	Country	Sampling Depth	Elevation	Mean Annual Temperature (Celsius)	Mean Annual Precipitation (mm)	Soil Classification	Tree Cover	Climatic Zone	LTSP Treatment	Compaction Treatment	Herbicide Use	Horizon	Moisture Content	Total Carbon	Total Nitrogen	pH	Soil Bulk Density	CN Ratio
ERR1226373	ERS1040248	BP241B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.1	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	O horizon	88	2.5	0.1	5.5	1.4	22.8
ERR1226374	ERS1040249	BP242B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.1	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	O horizon	90	2.5	0.1	5.5	1.4	22.8
ERR1226375	ERS1040250	BP243B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.1	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	O horizon	93	2.5	0.1	5.5	1.4	22.8
ERR1226376	ERS1040251	BP244B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	A horizon	40	41.8	1.5	5.8	1.4	27.7
ERR1226377	ERS1040252	BP245B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	A horizon	50	41.8	1.5	5.8	1.4	27.7
ERR1226378	ERS1040253	BP246B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM2	C2	0	A horizon	39	41.8	1.5	5.8	1.4	27.7
ERR1226379	ERS1040254	BP250B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C2	0	A horizon	53	2	0.1	5.6	1.5	22.3
ERR1226380	ERS1040255	BP251B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C2	0	A horizon	50	2	0.1	5.6	1.5	22.3
ERR1226381	ERS1040256	BP252B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C2	0	A horizon	38	2	0.1	5.6	1.5	22.3
ERR1226382	ERS1040257	BP256B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C1	0	A horizon	45	2.6	0.1	5.7	1.5	23.6
ERR1226383	ERS1040258	BP257B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C1	0	A horizon	55	2.6	0.1	5.7	1.5	23.6
ERR1226384	ERS1040259	BP258B	IDFBC	British Columbia	BP	Forest Soil	16S rRNA	V1-V3	6/22/2010	50.93	-120.28	Canada	0.3	1180	2.5	300	Brunisolic Gray Luvisol	Douglas fir, Lodgepole pine	Dfb, Humid Continental warm summer	OM3	C1	0	A horizon	46	2.6	0.1	5.7	1.5	23.6
